model,statistic,p_value,significant
GLM,,,
XGBoost,297.0,4.4018030166625977e-05,***
NN-PerCell-MLP,300.0,2.6941299438476562e-05,***
NN-PerCell-CNN,142.0,0.7108968794345856,ns
NN-PerCell-RNN,226.0,0.045158058404922485,*
NN-DeepSharedShallowHead-TL-MLP,323.0,8.940696716308594e-08,***
NN-DeepSharedShallowHead-TL-CNN,324.0,5.960464477539063e-08,***
NN-DeepSharedShallowHead-TL-RNN,323.0,8.940696716308594e-08,***
NN-DeepSharedDeepHead-TL-MLP,324.0,5.960464477539063e-08,***
NN-DeepSharedDeepHead-TL-CNN,318.0,5.662441253662109e-07,***
NN-DeepSharedDeepHead-TL-RNN,324.0,5.960464477539063e-08,***
NN-ShallowSharedDeepHead-TL-MLP,322.0,1.4901161193847656e-07,***
NN-ShallowSharedDeepHead-TL-CNN,320.0,2.980232238769531e-07,***
NN-ShallowSharedDeepHead-TL-RNN,317.0,7.450580596923828e-07,***
