model,n_cells,median,mean,std,iqr_lo,iqr_hi,pct_above_chance,n_above_chance
GLM,25,0.020627605670763938,0.02462789825529012,0.04074053705107363,0.00110749068752225,0.034117855547360465,76.0,19
XGBoost,25,0.024715462233524388,0.04010764917304325,0.06787974302234939,-0.0023386248106691543,0.08593255005212141,72.0,18
NN-PerCell-MLP,25,0.03365753620239709,0.04024048218674996,0.06405634889290177,-0.002485791608051402,0.07180699061284046,72.0,18
NN-PerCell-CNN,25,0.006360232059467008,0.011543350468944781,0.02910334226765735,-0.006962373101761621,0.021859562188582093,52.0,13
NN-PerCell-RNN,25,0.006509808621675495,0.021498965690102092,0.05183428042677021,-0.009252054988166503,0.05765398707516267,52.0,13
NN-DeepSharedShallowHead-TL-MLP,25,0.021127088980634312,0.040276169768331274,0.051808360674567566,0.00043799279385470236,0.07075499734894175,76.0,19
NN-DeepSharedShallowHead-TL-CNN,25,0.034955328601396274,0.044869594628090426,0.046284374738816685,0.002271726311474098,0.07803299759997118,76.0,19
NN-DeepSharedShallowHead-TL-RNN,25,0.02883326210574677,0.032587150846580364,0.038811082365464836,-0.002368483754020101,0.05576331922825983,68.0,17
NN-DeepSharedDeepHead-TL-MLP,25,0.03174603758033567,0.04267696809177982,0.05216971427334627,0.005261430866095651,0.07332375641634892,76.0,19
NN-DeepSharedDeepHead-TL-CNN,25,0.032997360563278955,0.04376367823283628,0.049404220704989364,0.009396550031056217,0.07367898645115145,76.0,19
NN-DeepSharedDeepHead-TL-RNN,25,0.028399110241238867,0.037053871961571644,0.049596536230893724,0.0025430729848259226,0.060080474565543884,76.0,19
NN-ShallowSharedDeepHead-TL-MLP,25,0.031105213162943235,0.04506298611226495,0.05705836761146071,0.005506481038827782,0.06535490812670708,76.0,19
NN-ShallowSharedDeepHead-TL-CNN,25,0.03131094399507228,0.033253333882830895,0.03810844715052816,0.00031499136321511134,0.064361322050279,76.0,19
NN-ShallowSharedDeepHead-TL-RNN,25,0.037019931962199104,0.03842743979882668,0.04647127395516523,0.0037598840703403358,0.05875159737819491,76.0,19
