model,n_cells,median,mean,std,iqr_lo,iqr_hi,pct_above_chance,n_above_chance
GLM,100,0.012414509180377675,0.019361014712456916,0.05999177448411378,-0.0024419902260973125,0.030869056578401027,71.0,71
NN-DeepSharedDeepHead-TL-CNN,100,0.043830641768738465,0.053662979227651154,0.07806136782762618,0.005106390920125603,0.07209989417183246,79.0,79
NN-DeepSharedDeepHead-TL-MLP,100,0.0373781031574823,0.05809273028354101,0.08446862569329602,0.0068925178779369045,0.07370409670529451,80.0,80
NN-DeepSharedDeepHead-TL-RNN,100,0.03636108009570316,0.048170360846074865,0.06860443468863549,0.001386509589158591,0.0740343476158902,75.0,75
NN-DeepSharedShallowHead-TL-CNN,100,0.040329852748654804,0.05579707977226388,0.07345808296126259,0.004184047482828357,0.0764711323485324,79.0,79
NN-DeepSharedShallowHead-TL-MLP,100,0.030087337388899127,0.05071073552286744,0.07971632634124586,0.005022654843777952,0.0676425760203887,78.0,78
NN-DeepSharedShallowHead-TL-RNN,100,0.029150247634978144,0.03835982801431135,0.06327061399598438,-0.00320329380289891,0.05935799472333411,70.0,70
NN-PerCell-CNN,100,-0.000665087002520548,0.0065742787464261754,0.056894979402031,-0.008643744788446595,0.024505706412010497,40.0,40
NN-PerCell-MLP,100,0.021065945048794554,0.03967809100508044,0.07673481042590517,-0.0031843649242666583,0.06864809448714537,72.0,72
NN-PerCell-RNN,100,0.005310766383106957,0.023169689771233185,0.06485696752169426,-0.009574135411390905,0.04074457553873298,53.0,53
NN-ShallowSharedDeepHead-TL-CNN,100,0.032295735150469906,0.043271334497332455,0.06403163695489364,0.0003016917417802689,0.06584522307569399,76.0,76
NN-ShallowSharedDeepHead-TL-MLP,100,0.0362703906016037,0.054141565480878506,0.08221431940733814,0.006885307226090709,0.06379926862611499,78.0,78
NN-ShallowSharedDeepHead-TL-RNN,100,0.03829814579602475,0.045192125943330004,0.06256433157702723,0.0002861567312237301,0.06911876084360266,76.0,76
XGBoost,100,0.03358357147513713,0.044385125668965485,0.08095500926711843,-0.0025983531063472065,0.07475712251425085,72.0,72
