model,W,p_vs_glm,sig_vs_glm
NN-DeepSharedDeepHead-TL-CNN,4167.0,8.224119575801772e-09,***
NN-DeepSharedDeepHead-TL-MLP,4517.0,3.714682915203635e-12,***
NN-DeepSharedDeepHead-TL-RNN,3952.0,4.636046285199794e-07,***
NN-DeepSharedShallowHead-TL-CNN,4361.0,1.370472965520603e-10,***
NN-DeepSharedShallowHead-TL-MLP,4287.0,6.877169640195974e-10,***
NN-DeepSharedShallowHead-TL-RNN,3655.0,5.110031318799433e-05,***
NN-PerCell-CNN,1793.0,0.9940796021936901,ns
NN-PerCell-MLP,3624.0,7.881859067032403e-05,***
NN-PerCell-RNN,2604.0,0.3929541635894582,ns
NN-ShallowSharedDeepHead-TL-CNN,3825.0,3.914230589365406e-06,***
NN-ShallowSharedDeepHead-TL-MLP,4533.0,2.5251338225430223e-12,***
NN-ShallowSharedDeepHead-TL-RNN,4001.0,1.9378115037291242e-07,***
XGBoost,3649.0,5.5618122644469005e-05,***
